Date,water.level.above.sensor_CM0W,water.level.above.sensor_CM1W,water.level.above.sensor_CM2W,water.level.above.sensor_CM3W,water.level.above.sensor_CM4W,depth.gw_ft_CM0W,depth.gw_ft_CM1W,depth.gw_ft_CM2W,depth.gw_ft_CM3W,depth.gw_ft_CM4W,water.level.above.sensor_CMW2,WY
2022-04-02,8.304,NA,NA,4.252,NA,0.581,NA,NA,0.126,NA,4.208,NA
2022-04-09,8.207,NA,NA,4.288,NA,0.678,NA,NA,0.095,NA,3.969,NA
2022-04-16,8.655,NA,NA,4.394,NA,0.23,NA,NA,0.011,NA,4.444,NA
2022-04-23,8.582,NA,NA,4.379,NA,0.303,NA,NA,0.002,NA,4.473,NA
2022-04-30,8.42,NA,NA,4.357,NA,0.465,NA,NA,0.02,NA,4.426,NA
2022-05-07,8.389,NA,NA,4.385,NA,0.496,NA,NA,0.009,NA,4.377,NA
2022-05-14,7.871,NA,NA,4.228,NA,1.014,NA,NA,0.147,NA,3.897,NA
2022-05-21,7.292,NA,NA,3.914,NA,1.593,NA,NA,0.461,NA,3.289,NA
2022-05-28,6.908,NA,NA,3.868,NA,1.977,NA,NA,0.507,NA,2.972,NA
2022-06-04,6.404,NA,NA,3.694,NA,2.481,NA,NA,0.681,NA,2.605,NA
2022-06-11,5.865,NA,NA,3.424,NA,3.02,NA,NA,0.951,NA,2.22,NA
2022-06-18,5.378,NA,NA,3.194,NA,3.507,NA,NA,1.181,NA,1.86,NA
2022-06-25,4.789,NA,NA,2.537,NA,4.096,NA,NA,1.838,NA,1.335,NA
2022-07-02,4.251,NA,NA,2.02,NA,4.634,NA,NA,2.355,NA,0.795,NA
2022-07-09,3.723,NA,NA,1.487,NA,5.162,NA,NA,2.888,NA,0.252,NA
2022-07-16,3.177,NA,NA,0.95,NA,5.708,NA,NA,3.425,NA,0.05,NA
2022-07-23,2.637,NA,NA,0.465,NA,6.248,NA,NA,3.91,NA,0.028,NA
2022-07-30,2.129,NA,NA,0.085,NA,6.756,NA,NA,4.29,NA,0.027,NA
2022-08-06,1.726,NA,NA,0,NA,7.159,NA,NA,4.375,NA,0.008,NA
2022-08-13,1.498,NA,NA,0,NA,7.387,NA,NA,4.375,NA,0.019,NA
2022-08-20,1.319,NA,NA,0,NA,7.566,NA,NA,4.375,NA,0.019,NA
